table_id,ar,az,bn,cs,en,es,fr,hi,id_casual,id_formal,it,ja_casual,ja_formal,jv_krama,jv_ngoko,ko_casual,ko_formal,mr,nan,nan_spoken,ru_casual,ru_formal,sc,si_formal_spoken,su_loma,th,tl,yo,yue,zh_cn
arxiv_a92c4de096,0.7937559205024689,0.7937559205024689,0.6090598953975521,0.7937559205024689,0.35976387504290475,0.5828833474188783,0.8985396083419646,0.697756759594737,0.8985396083419646,0.7937559205024689,0.8985396083419646,0.4732072478339363,0.4732072478339363,0.8058778374128266,0.8058778374128266,0.5823371009615165,0.4732072478339363,0.46024953713619404,0.4732072478339363,0.5823371009615165,0.7937559205024689,0.7937559205024689,0.7937559205024689,0.697756759594737,0.8985396083419646,0.6237465763489733,1.0,0.5823371009615165,0.5823371009615165,0.6839329477103359
arxiv_b4f9e51dd6,,0.8824969025845955,0.57884127941775,,0.46308876535292026,,0.8824969025845955,,0.8824969025845955,0.8824969025845955,,0.5611815006937274,0.57884127941775,,0.8824969025845955,0.5591778539169087,,,0.8666014925401602,0.8666014925401602,0.8824969025845955,0.8824969025845955,,0.44451986966748985,,0.57884127941775,,,0.5809153842051106,0.57884127941775
arxiv_b617ec8b31,0.09361644326155498,,,0.21909499203152014,,,,,,,,,0.060745880708766846,0.2769413275131342,,,,,,0.027166383723579154,0.4849369327563387,,,,,,,,,
arxiv_bed80d3901,0.08430118946484098,0.09058752341587764,0.017033186037639283,0.017033186037639283,1.0,0.08430118946484098,0.03602080288207364,0.03602080288207364,0.03986357128268015,0.03986357128268015,0.020255986027125642,0.08430118946484098,0.08430118946484098,0.045293761707938834,0.045293761707938834,0.03602080288207364,0.08430118946484098,0.03602080288207364,0.022416933501922302,0.045293761707938834,0.03602080288207364,0.017033186037639283,0.053863663688318665,0.10025157431478134,0.045293761707938834,0.045293761707938834,0.024088562704853513,0.045293761707938834,0.08430118946484098,0.08518736808493099
arxiv_c1daaa052a,0.07126955677090926,0.07658412276041004,0.05890548730960053,0.27447938256311044,1.0,0.07126955677090926,0.0729881287040692,0.015663840573309693,0.030452555559828284,0.029660903203497246,0.0729881287040692,0.014400124446705301,0.026801651563557783,0.08015563400056389,0.03527295712700593,0.027854685173648884,0.026801651563557783,0.03424946089789314,0.014400124446705301,0.03312498979466406,0.07658412276041004,0.03527295712700593,0.2805155032016294,0.026801651563557783,0.22308576866161578,0.028800248893410603,0.4881010344921759,0.07658412276041004,0.0887067909105404,0.05890548730960053
arxiv_d5e552fb72,0.06250381527944884,0.076466028156606,0.06250381527944884,0.2500152611177953,1.0,0.23621858826556616,0.08794842057443453,0.032073181939858725,0.4058951763812706,0.2574866101628968,0.4933292241270431,0.20891045461440766,0.055905111927175045,0.09830925010426912,0.294013234652382,0.07305891545072536,0.076466028156606,0.06030725360407769,0.05470214811215988,0.027952555963587523,0.08947853200770763,0.08947853200770763,0.45358328887808014,0.18207052811092134,0.325909498033977,0.02862659520720903,0.4121183751323027,0.02460137257692754,0.09093394473983427,0.08947853200770763
arxiv_d9ebbb4fce,0.10171743461694824,0.3651934656347456,0.03372742782933834,0.4566337854967312,1.0,0.06719788010932118,0.08607692533178168,0.341191474032336,0.07575731225158963,0.21800193956058223,0.08607692533178168,0.1842644559759274,0.1634453553468014,0.492467473444436,0.4195816336612071,0.16628894941361994,0.0612957497932821,0.0900911347430732,0.08104064855774029,0.05856458233275369,0.17729842264695017,0.08449686085328642,0.10542227284525635,0.059976790462486114,0.24027548807210541,0.08104064855774029,0.6361627798717191,0.0236661293256479,0.06444925563826855,0.06964541799727335
arxiv_da116d1768,0.579558149889942,0.8266114125804572,0.687028746592056,0.3419664738551679,1.0,0.42311785416105785,0.6580771759973243,0.2643589525275458,0.3141808768186965,0.43748114312246444,0.8020219183488043,0.3141808768186965,0.2643589525275458,0.8266114125804572,0.6189172073417211,0.3141808768186965,0.2643589525275458,0.33307662668678184,0.24669426816409512,0.5462677702702794,0.39506153747892536,0.39506153747892536,0.710109425285578,0.8020219183488043,0.579558149889942,0.3141808768186965,0.8020219183488043,0.4001601601922499,0.41142613477811685,0.2643589525275458
arxiv_e9fe1a9aed,,0.6497848175353425,,0.6497848175353425,,,0.6497848175353425,,,,,,0.6130670542254457,,,,,,,0.6130670542254457,0.6497848175353425,,,0.5770006468811202,,0.6130670542254457,,,,0.6130670542254457
arxiv_e9fef14615,,,0.9224779232955842,0.885065235644761,,,,,0.8720317658222103,,,,0.8720317658222103,,,0.9071032109924198,,0.9095024902989872,0.9071032109924198,0.9224779232955842,0.885065235644761,0.9200444146293233,,,,,,0.9200444146293233,,0.845833565473507
